Tag,Category
movies,Entertainment|Media
java,Technology
technology,Technology
advertising,Advertising
beauty,Beauty
business,Business
celebrity,Celebrity
diy / craft,DIY / Craft
entertainment,Entertainment
family,Family
fashion,Fashion
food,Food
general health,General Health
lifestyle,Lifestyle
music,Music
news,News
pop,Pop
culture,Culture
social,Social
media,Media
sports,Sports
travel,Travel
video Games,Video Games
starbucks,Business|Food|Lifestyle
facebook,Social|Media
jeff bridges,Entertainment
kevin costner,Entertainment
lady gaga,Entertainment|Music|Lifestyle|Pop
harvard business school,Business
taylor swift,Music|Pop
kelly clarkson,Music|Pop
google,Business|Technology|Advertising
